member_code,position_id,upline_id,upline_code,referrer_id,referrer_code,self_pt,status,force_active
58795401,1238,952,24230102,951,24230101,0,withdrawn,False
59845201,1244,1409,80518201,1107,42587701,0,withdrawn,False
62114701,1265,1233,58054201,1172,48598901,150,active,False
62350401,1270,1114,42845501,1484,89248801,0,withdrawn,False
62777901,1273,1088,40436801,1418,82179501,0,withdrawn,False
63634201,1278,1282,64072801,939,22482302,0,withdrawn,False
63787601,1280,1386,76813001,1304,66415901,0,withdrawn,False
64072801,1282,1318,67998201,1571,99384501,150,active,False
65895901,1300,1233,58054201,1525,93713601,150,active,False
66348701,1302,1533,94273401,1525,93713601,0,active,False
67627901,1314,991,28116301,1073,39333301,0,withdrawn,False
67812701,1317,1212,54418203,1210,54418201,300,active,False
67998201,1318,1176,48743801,1143,45697201,0,withdrawn,False
68419201,1320,890,17982101,1571,99384501,0,withdrawn,False
68532401,1323,915,20045301,1016,30841701,150,active,False
68791101,1327,1393,77881701,1484,89248801,150,active,False
69299501,1331,1238,58795401,951,24230101,0,withdrawn,False
69319501,1332,1211,54418202,1168,48344002,0,withdrawn,False
69571901,1334,892,18293401,858,15226301,0,active,False
69786001,1336,1528,93713604,1525,93713601,150,active,False
69916301,1337,1159,47356802,1525,93713601,0,active,False
69969301,1338,1533,94273401,1525,93713601,0,withdrawn,False
70212901,1342,1336,69786001,1528,93713604,0,active,False
70379301,1344,1672,18239802,1527,93713603,0,active,False
70431701,1345,1350,71492901,858,15226301,150,active,False
71117201,1349,1277,63537401,1385,76348703,150,active,False
71492901,1350,819,12226601,858,15226301,0,active,False
71494701,1351,1403,79957101,1393,77881701,150,active,False
72877901,1364,981,27414701,1167,48344001,0,withdrawn,False
72911501,1365,2356,98254202,938,22482301,150,active,False
74916201,1374,985,27524001,1564,98274001,0,active,False
75292601,1376,991,28116301,1073,39333301,0,active,False
76813001,1386,1074,39333302,1073,39333301,0,withdrawn,False
77881701,1393,1283,64150101,1134,44504701,150,active,False
78281801,1395,1326,68673603,1324,68673601,0,withdrawn,False
79957101,1403,1398,78996401,1393,77881701,150,active,False
81035901,1410,1208,54240701,939,22482302,0,withdrawn,False
81355101,1412,1139,45446001,1324,68673601,0,withdrawn,False
83191401,1427,892,18293401,858,15226301,0,active,False
83219701,1428,1172,48598901,1525,93713601,150,active,False
84834901,1438,880,16521702,879,16521701,0,withdrawn,False
85409701,1443,1412,81355101,1324,68673601,0,withdrawn,False
85509101,1446,1160,47356803,1158,47356801,150,active,False
85791501,1449,860,15226303,1383,76348701,150,active,False
86062501,1450,1314,67627901,1073,39333301,0,withdrawn,False
86820601,1455,1087,40431001,1134,44504701,150,active,False
88323401,1469,1470,88379001,940,22482303,150,active,False
88379001,1470,1366,72911502,1365,72911501,150,active,False
88494601,1472,1160,47356803,1158,47356801,0,active,False
90058701,1492,993,28194401,1527,93713603,150,active,False
90327801,1494,1422,82709001,869,15978301,0,active,False
90859701,1499,902,19304201,1564,98274001,0,withdrawn,False
91111001,1501,1222,55686102,1114,42845501,0,withdrawn,False
91520301,1505,1540,95478201,1484,89248801,0,withdrawn,False
91730101,1509,991,28116301,1073,39333301,0,withdrawn,False
91742901,1510,2307,92646603,1016,30841701,150,active,False
91827101,1511,1232,57697401,858,15226301,150,active,False
92703301,1516,1360,72395502,1359,72395501,150,active,False
94273401,1533,1173,48598902,1172,48598901,0,withdrawn,False
95446801,1539,1418,82179501,1484,89248801,0,active,True
95478201,1540,813,11583401,1134,44504701,0,active,False
95579401,1541,832,13229203,1295,65708001,0,autoship,False
96183101,1545,982,27414702,1167,48344001,0,lapsed,False
96567001,1551,1295,65708001,869,15978301,0,active,False
96913901,1555,832,13229203,973,26621002,0,withdrawn,False
98254201,1563,940,22482303,938,22482301,0,active,False
98583901,1566,1009,30144401,1158,47356801,0,withdrawn,False
98770301,1567,1469,88323401,940,22482303,0,withdrawn,False
99373801,1570,1335,69773101,957,25067801,0,active,False
99384501,1571,1215,54598702,1143,45697201,0,withdrawn,False
99838201,1574,1009,30144401,1158,47356801,0,withdrawn,False
99953901,1576,1673,18239803,1527,93713603,0,active,False
